FIRM,Class,Start,End,TOD,FIRMF,Length,Night,Gap,WS,Idx,Base,StartAdj,LenAdj,Comp,Trans,Press,P1S,P1L,P2S,P2L,MalAdj,NFZ,WNFZ,AFZ,WAFZ,MFZ,WMFZ,NBad,TIW,RIW,HIW,SIW,CCW
5,2,1080,1905,1470,1,825,0,999,1,1,6.00,0.00,0.00,0.00,-1.00,0.00,2,555,2,710,1,0,1,0,0,0,0,0,1265,0,0,1,0.00
2,0,1342,1730,-1,2,388,1,999,1,1,3.00,0.00,0.00,0.00,0.00,0.00,11,0,11,0,0,0,1,0,0,0,0,0,0,0,0,0,0.00
2,0,75,790,-1,2,715,1,999,1,1,3.00,0.00,0.00,0.00,-1.00,0.00,4,430,5,505,1,0,1,0,0,0,0,0,935,0,0,2,0.00
5,2,1080,1920,1470,1,840,0,999,1,1,6.00,0.00,0.00,0.00,-1.00,0.00,2,480,2,293,1,0,1,0,0,0,0,0,773,0,0,2,0.00
2,0,301,1021,-1,2,720,0,999,1,1,6.00,-4.00,0.00,0.00,0.00,0.00,5,541,5,365,0,0,0,0,1,0,0,0,906,0,0,2,0.00
-1,0,6,406,-1,-1,400,1,999,0,5,3.00,0.00,0.00,0.00,-1.00,-3.33,0,621,5,556,1,0,1,0,0,0,0,0,2138,1,0,4,0.00
2,1,1246,2177,1470,-9,931,0,999,0,5,6.00,0.00,0.00,0.00,-1.00,-2.67,3,220,4,561,1,0,1,0,0,0,0,0,1470,0,0,4,0.00
-3,0,121,767,-1,-3,646,1,999,0,6,3.00,0.00,0.00,0.00,-1.00,-4.83,-1,295,0,625,0,0,1,0,0,0,0,0,2346,1,0,5,0.00
5,0,751,1186,-1,5,435,0,734,0,3,6.00,0.00,0.00,0.00,0.00,-1.33,5,616,4,701,1,0,0,0,1,0,0,0,2223,0,0,3,1.00
-9,1,1246,2172,1470,-10,926,0,984,0,13,6.00,0.00,0.00,0.00,-2.00,-13.00,-10,636,-4,120,1,0,1,0,0,0,0,1,2798,2,3,4,0.00
3,0,505,1250,-1,3,745,0,965,0,4,6.00,0.00,-0.12,0.00,-1.00,-2.33,1,625,-1,854,0,0,0,0,1,0,0,0,1694,0,0,3,0.50
5,0,626,850,-1,5,224,0,999,0,2,6.00,0.00,0.00,0.00,0.00,-0.67,5,229,5,275,1,0,0,0,0,0,0,0,1989,0,0,4,0.00
5,1,1060,1735,1470,2,675,0,999,1,1,6.00,0.00,0.00,0.00,0.00,0.00,5,455,5,475,1,0,1,0,0,0,0,0,1815,0,0,3,0.00
0,0,835,1315,-1,0,480,0,940,0,6,6.00,0.00,0.00,0.00,-2.00,-4.00,1,500,-1,580,0,0,0,0,1,0,0,0,2945,1,0,3,0.00
